Round,Poll end time,Game mode,Beatmapset ID,Topic ID,Yes,No,Topic title
1,2018-01-09T03:28:26+00:00,0,598677,684552,151,24,[osu!std] 1/1/18 WSTR - Eastbound &amp; Down by HanzeR Vote/Discussion
1,2018-01-09T03:28:28+00:00,0,378264,684553,149,25,[osu!std] 1/1/18 Yunomi - Mentai Cosmic by Sinch Vote/Discussion
1,2018-01-09T03:28:30+00:00,0,46502,684554,165,18,[osu!std] 1/1/18 goreshit - Satori De Pon! by [CSGA]Ar3sgice Vote/Discussion
1,2018-01-09T03:28:32+00:00,0,186032,684555,142,12,[osu!std] 1/1/18 MuryokuP - Frozen World by captin1 Vote/Discussion
1,2018-01-09T03:28:33+00:00,0,51611,684556,166,8,[osu!std] 1/1/18 Hatsune Miku - boku-boku by Lan wings Vote/Discussion
1,2018-01-09T03:28:34+00:00,0,31133,684557,134,22,[osu!std] 1/1/18 Renard - Why Am I So Angry by Blue Dragon Vote/Discussion
1,2018-01-09T03:28:36+00:00,0,107834,684558,73,40,[osu!std] 1/1/18 Girls Generation - Oh! by cRyo[iceeicee] Vote/Discussion
1,2018-01-09T03:28:37+00:00,0,123654,684559,133,20,[osu!std] 1/1/18 Perfume - MY COLOR by BluOxy Vote/Discussion
1,2018-01-09T03:28:39+00:00,0,405474,684560,212,14,[osu!std] 1/1/18 *namirin - Amatsu Kitsune by Meg Vote/Discussion
1,2018-01-09T03:28:40+00:00,0,576097,684561,219,21,[osu!std] 1/1/18 DJ Mass MAD Izm* - SHAKUNETSU Pt.2 Long Train Running by Totori Vote/Discussion
2,2018-01-14T21:48:32+00:00,0,415299,687998,129,12,[osu!std] 1/9/18 Red Velvet - Ice Cream Cake by handsome Vote/Discussion
2,2018-01-14T21:48:47+00:00,0,56802,687999,47,14,[osu!std] 1/9/18 Ceui - Labyrinths by Es-HuStLeR Vote/Discussion
2,2018-01-14T21:48:59+00:00,0,352624,688001,107,7,[osu!std] 1/9/18 Masa - Kitsune no Yomeiri by Roll_Pan Vote/Discussion
2,2018-01-14T21:49:01+00:00,0,72121,688002,92,14,[osu!std] 1/9/18 The Quick Brown Fox - Cloudsmasher by Aqo Vote/Discussion
2,2018-01-14T21:49:02+00:00,0,385088,688003,193,19,[osu!std] 1/9/18 Crywolf - Eyes Half Closed by Truzon Vote/Discussion
2,2018-01-14T21:49:05+00:00,0,108426,688004,74,9,[osu!std] 1/9/18 wataame - monochrome throat by RLC Vote/Discussion
2,2018-01-14T21:49:07+00:00,0,465035,688005,114,23,[osu!std] 1/9/18 Giorgio Vanni - Maledetti Scarafaggi by Chewin Vote/Discussion
2,2018-01-14T21:49:08+00:00,0,65660,688006,112,10,[osu!std] 1/9/18 rerulili - MA&#039;JI&#039;KI&#039;TI&#039;GIRL by caren_sk Vote/Discussion
2,2018-01-14T21:49:14+00:00,0,376860,688007,130,18,[osu!std] 1/9/18 Caravan Palace - Lone Digger by Sheepcraft Vote/Discussion
2,2018-01-14T21:50:17+00:00,0,58452,688008,146,5,[osu!std] 1/9/18 Danny Baranowsky - The Battle of Lil&#039; Slugger by Zapy Vote/Discussion
2,2018-01-14T22:15:33+00:00,1,651668,688015,30,9,[osu!taiko] 1/9/18 easyname - why are you listening to this by yea Vote/Discussion
2,2018-01-14T22:15:35+00:00,1,299271,688016,28,7,[osu!taiko] 1/9/18 Crash-TM - Untan Goose by Hanjamon Vote/Discussion
2,2018-01-14T22:15:36+00:00,1,638476,688017,28,7,[osu!taiko] 1/9/18 ARM - Primula by tasuke912 Vote/Discussion
2,2018-01-14T22:15:38+00:00,1,328741,688018,22,6,[osu!taiko] 1/9/18 tarolabo - NijiBishox1HadairoSenjoSenjo by Nyan Vote/Discussion
2,2018-01-14T22:15:40+00:00,1,692706,688019,28,12,[osu!taiko] 1/9/18 Kobaryo - caramel machinegun feat. kamome sano by Tem Vote/Discussion
2,2018-01-14T22:15:41+00:00,1,663341,688020,32,4,[osu!taiko] 1/9/18 goreshit - Still scared of ouija boards by Backfire Vote/Discussion
2,2018-01-14T22:15:45+00:00,1,177838,688021,30,7,[osu!taiko] 1/9/18 Ocelot - TSUBAKI by TKS Vote/Discussion
2,2018-01-14T22:39:41+00:00,2,567261,688033,43,9,[osu!catch] 1/9/18 orangentle / Yu_Asahina - HAELEQUIN by Minato Yukina Vote/Discussion
2,2018-01-14T22:39:44+00:00,2,38444,688034,45,3,[osu!catch] 1/9/18 Inspector K - Disconnected Hardkore (CanBlaster Remix) by ExGon Vote/Discussion
2,2018-01-14T22:39:45+00:00,2,591353,688035,36,15,[osu!catch] 1/9/18 m.o.v.e - DOGFIGHT by CLSW Vote/Discussion
